"","BID","SMAPE","RMSE","MAE","MSE"
"32",32,0.0883219229973522,12.138865591218,8.6974708965214,147.352057841656
"33",33,0.108239459705766,13.3465774226853,9.43142123352199,178.131128899734
"34",34,0.167461007027096,8.80681950289092,5.60664548837199,77.5600697564998
"35",35,0.103324170314363,3.12477548226537,2.24628537847614,9.76422181456675
"36",36,0.154895861152231,6.43739838963906,4.49732155872458,41.4400980269275
"37",37,3.62610217801864,168.392897395219,91.5303385970436,28356.1678931569
"38",38,4.49961475328762,126.838160774703,61.8737650106368,16087.9190287095
"39",39,3.91345595303932,120.346732379878,61.8661735160632,14483.335994514
"40",40,4.56180930370397,130.431282736496,63.464969653796,17012.3195162877
"41",41,3.68833083497916,165.011739675202,97.3739266626309,27228.8742306365
"42",42,4.00313359179887,110.391802672859,50.5957417322147,12186.3500973634
"43",43,3.89451258947184,117.626319044834,53.1379300243475,13835.9509320371
"44",44,3.33322159979339,112.29760700408,53.0522841831475,12610.7525388429
"45",45,1.02050381435716,44.2689218725414,29.3228348728298,1959.73744375718
"46",46,1.61177759414997,50.9499991195194,35.4327970621734,2595.90241027903
"47",47,0.947885451324563,75.4364027854295,50.4300890756987,5690.65086520555
"48",48,0.921334470941892,29.1802726855254,17.3929462553489,851.48831400162
"49",49,0.780821807280468,35.2087287013862,23.3389941302133,1239.65457676782
"50",50,0.873021861749661,38.6412922732649,25.8942948356027,1493.14946854789
"51",51,1.10335367597643,41.1764112284884,28.2630610088712,1695.49684165759
"52",52,1.18660950967352,39.0715941755443,24.2369915632768,1526.58947141843
"53",53,2.86975673487852,80.9344322230962,49.8963104035247,6550.38231927495
"54",54,4.74106862108367,117.607889219492,70.8285894054235,13831.6156066644
"55",55,0.40142865538622,6.46726348403931,4.10072899021007,41.8254969719883
"56",56,0.262084212995048,19.6862504658524,10.9099121340645,387.548457404275
"57",57,2.63967180641039,65.5724730733433,43.0100614006042,4299.74922495433
"58",58,0.161400231716806,6.79605129111281,4.66122301265041,46.1863131514361
"59",59,2.81740584869107,76.3882065567588,41.9406500640492,5835.15810095805
"60",60,1.82320301889524,80.6064147562535,48.9964220877907,6497.39409985716
"61",61,1.99043228006784,81.6919592292616,59.4458364818295,6673.57620271534
"62",62,1.90710607165933,29.5458221236173,21.5050215392065,872.955604960432
"63",63,2.14481051418391,22.5918830737559,16.1356988135182,510.393180818259
"64",64,1.55397258232743,25.5615942482786,18.4936428297081,653.395100513632
"65",65,3.12889337416349,27.1561835369403,18.1610893819671,737.458304291989
